NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASEMENT,BUILDING_CLASS_AT_PRESENT,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,13,,A1,155 BAY 14TH ST,,11214,1,0,1,"3,680",936,1930,1,A1,"12,50,000",23/12/20
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6409,40,,A9,106 BAY 25TH STREET,,11214,1,0,1,"1,740","1,382",1915,1,A9,"8,05,000",02/12/20
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6425,11,,A5,241 BAY 7TH STREET,,11228,1,0,1,"1,452","1,188",1935,1,A5,"8,70,000",30/04/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6445,31,,S1,2108 BATH AVENUE,,11214,1,1,2,998,"1,530",1905,1,S1,"9,95,000",23/09/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6459,77,,A5,8928 15 AVENUE,,11228,1,0,1,"1,933","2,100",1910,1,A5,"10,59,000",23/03/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,203,,A5,8846 16TH AVENUE,,11214,1,0,1,"1,937","1,240",1950,1,A5,"8,82,000",21/01/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,73,,A5,323 BAY 14TH ST,,11214,1,0,1,"1,511",928,1950,1,A5,"3,88,500",27/05/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,136,,A5,322 BAY 14TH STREET,,11214,1,0,1,"1,511",928,1950,1,A5,"7,40,000",05/11/20
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,142,,A5,1171 SHORE PARKWAY,,11214,1,0,1,"1,767","1,392",1950,1,A5,"8,15,000",18/08/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,220,,A5,8933 16TH AVENUE,,11214,1,0,1,"2,105","1,240",1940,1,A5,"7,40,000",07/10/20
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,247,,A5,280 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"7,25,000",23/02/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,282,,A5,277 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1940,1,A5,"7,60,000",20/04/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6463,127,,A5,8849 18TH AVENUE,,11214,1,0,1,"1,384",992,1950,1,A5,"8,55,000",08/06/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,93,,A5,241 BAY 23RD STREET,,11214,1,0,1,"1,783","1,120",1945,1,A5,"7,45,000",11/12/20
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6480,36,,A5,8980 15TH AVENUE,,11228,1,0,1,"1,740","1,863",1950,1,A5,"9,95,000",01/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,5,,B1,8671 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"13,00,000",14/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,8,,B1,63 BAY 7TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"12,10,000",14/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,14,,B1,51 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"9,90,000",02/04/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,19,,B1,37 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"12,56,000",05/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,48,,B1,8622 15TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"9,90,000",02/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,57,,B1,8646 15TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"13,68,000",11/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,34,,B1,8613 15TH AVENUE,,11228,2,0,2,"2,344","2,320",1930,1,B1,"7,05,000",23/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,76,,B1,74 BAY 10TH STREET,,11228,2,0,2,"1,718","2,298",1960,1,B1,"10,75,000",07/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,49,,B2,18 BAY 11TH STREET,,11228,2,0,2,"2,425","2,344",1930,1,B2,"14,85,000",18/05/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,59,,B1,44 BAY 11TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"11,00,000",01/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6363,9,,B3,1603 BENSON AVENUE,,11214,2,0,2,"1,380","1,738",1935,1,B3,"7,30,000",21/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,8,,B3,1631 BENSON AVENUE,,11214,2,0,2,"2,688","1,367",1930,1,B3,"11,00,000",26/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,1,,B1,1721 BENSON AVENUE,,11214,2,0,2,"2,000","2,320",1925,1,B1,"15,50,000",16/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,31,,B1,8627 17TH AVE,,11214,2,0,2,"1,933","3,400",1901,1,B1,"10,85,000",10/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6368,46,,S2,8640 18TH AVENUE,,11214,2,1,3,"1,933","3,341",1931,1,S2,"23,30,000",26/04/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6368,47,,S2,8642 18TH AVENUE,,11214,2,1,3,"1,933","3,341",1922,1,S2,"23,30,000",26/04/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,58,,B1,18 BAY 19TH STREET,,11214,2,0,2,"2,153","2,266",1930,1,B1,"11,80,000",02/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,80,,B3,72 BAY 19TH STREET,,11214,2,0,2,"1,005","1,200",1930,1,B3,"6,00,000",30/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,16,,B1,85 BAY 20TH STREET,,11214,2,0,2,"2,328","1,820",1950,1,B1,"9,30,000",28/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,35,,B3,33 BAY 20 STREET,,11214,2,0,2,"3,867","3,192",1930,1,B3,"10,60,000",13/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6374,64,,S2,8638 20TH AVENUE,,11214,2,1,3,"4,060","2,819",1920,1,S2,"17,00,000",08/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6376,58,,B3,36 BAY 26TH STREET,,11214,2,0,2,"2,900","2,374",1930,1,B3,"13,38,000",15/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6392,22,,B1,129 BAY 7TH STREET,,11228,2,0,2,"1,772","1,980",1945,1,B1,"9,98,000",01/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6392,23,,B1,127 BAY 7TH STREET,,11228,2,0,2,"1,772","1,980",1945,1,B1,"10,30,000",25/11/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,17,,B2,143 BAY 8TH STREET,,11228,2,0,2,"2,151","2,183",1920,1,B2,"8,50,000",17/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,25,,B1,8723 15TH AVENUE,,11228,2,0,2,"2,336","2,160",1940,1,B1,"12,50,000",27/10/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,67,,B3,148 BAY 10TH STREET,,11228,2,0,2,"1,933","1,944",1940,1,B3,"4,65,000",23/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,61,,B9,130 BAY 11TH STREET,,11228,2,0,2,"1,925","2,018",1955,1,B9,"10,68,000",05/04/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,29,,B3,113 BAY 11TH STREET,,11228,2,0,2,"1,933","1,456",1899,1,B3,"8,75,000",22/10/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,33,,B3,105 BAY 11TH STREET,,11228,2,0,2,"1,920","1,484",1955,1,B3,"9,30,000",06/10/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,65,,B2,148 BAY 14TH STREET,,11214,2,0,2,"2,167","2,048",1930,1,B2,"10,98,000",06/11/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6401,21,,B2,8729 BAY 16TH STREET,,11214,2,0,2,"2,417","1,462",1925,1,B2,"9,55,000",19/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6402,41,,S2,8738 18TH AVE,,11214,2,1,3,"1,933","3,276",1910,1,S2,"7,00,000",18/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6402,41,,S2,8738 18TH AVENUE,,11214,2,1,3,"1,933","3,276",1910,1,S2,"9,50,000",13/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6408,14,,B3,125 BAY 23RD STREET,,11214,2,0,2,"2,034","1,420",1920,1,B3,"8,50,000",13/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6409,9,,B1,8737 20TH AVENUE,,11214,2,0,2,"1,933","2,125",1950,1,B1,"11,50,000",26/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6413,25,,B3,117 BAY 28TH STREET,,11214,2,0,2,"3,867","2,897",1925,1,B3,"13,60,000",19/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6414,31,,B3,109 BAY 29TH STREET,,11214,2,0,2,"2,417","2,464",1910,1,B3,"11,72,700",12/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6425,57,,B2,202 BAY 8TH STREET,,11228,2,0,2,"4,833","2,837",1930,1,B2,"16,50,000",22/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,13,,B3,233 BAY 8TH STREET,,11228,2,0,2,"3,867","1,793",1950,1,B3,"12,80,000",24/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,15,,B3,225 BAY 8TH STREET,,11228,2,0,2,"5,800","2,620",1935,1,B3,"16,50,000",27/05/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,18,,B2,221 BAY 8TH STREET,,11228,2,0,2,"1,933","2,048",1930,1,B2,"9,80,000",22/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,69,,B2,8834 15TH AVENUE,,11228,2,0,2,"3,867","3,992",2009,1,B2,"21,80,000",19/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6427,44,,B1,182 BAY 10TH STREET,,11228,2,0,2,"1,933","1,635",1955,1,B1,"11,10,000",04/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6427,60,,B3,206 BAY 10TH STREET,,11228,2,0,2,"3,867","2,280",1920,1,B3,"15,18,000",08/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6428,38,,B1,169 BAY 10TH STREET,,11228,2,0,2,"1,933","2,156",1960,1,B1,"13,00,000",22/06/21
